Word,Log Rank,Log Frequency
that is,2.7101173651118162,1.1139433523068367
the stage,2.710963118995276,1.1139433523068367
there are,2.711807229041191,1.1139433523068367
time for,2.7126497016272113,1.1139433523068367
to meet,2.7134905430939424,1.1139433523068367
two years,2.714329759745233,1.1139433523068367
was fined,2.7151673578484576,1.1139433523068367
was yesterday,2.716003343634799,1.1139433523068367
you re,2.7168377232995247,1.1139433523068367
a court,2.717670503002262,1.0791812460476249
a jury,2.718501688867274,1.0791812460476249
a long,2.7193312869837265,1.0791812460476249
a spokesman,2.720159303405957,1.0791812460476249
added i,2.7209857441537393,1.0791812460476249
after she,2.7218106152125467,1.0791812460476249
and will,2.722633922533812,1.0791812460476249
being in,2.7234556720351857,1.0791812460476249
both men,2.724275869600789,1.0791812460476249
but as,2.725094521081469,1.0791812460476249
but there,2.7259116322950483,1.0791812460476249
care and,2.7267272090265724,1.0791812460476249
counts of,2.727541257028556,1.0791812460476249
court that,2.7283537820212285,1.0791812460476249
days later,2.72916478969277,1.0791812460476249
department of,2.7299742856995555,1.0791812460476249
double glazing,2.7307822756663893,1.0791812460476249
forced to,2.7315887651867388,1.0791812460476249
forward to,2.7323937598229686,1.0791812460476249
gillian harvey,2.7331972651065692,1.0791812460476249
go on,2.733999286538387,1.0791812460476249
had denied,2.734799829588847,1.0791812460476249
has always,2.73559889969818,1.0791812460476249
has taken,2.7363965022766426,1.0791812460476249
his father,2.7371926427047373,1.0791812460476249
hospital in,2.737987326333431,1.0791812460476249
i had,2.738780558484369,1.0791812460476249
i want,2.739572344450092,1.0791812460476249
in and,2.7403626894942437,1.0791812460476249
in custody,2.741151598851785,1.0791812460476249
in june,2.741939077729199,1.0791812460476249
in slough,2.7427251313046983,1.0791812460476249
in which,2.74350976472843,1.0791812460476249
is being,2.7442929831226763,1.0791812460476249
it all,2.7450747915820575,1.0791812460476249
made a,2.745855195173729,1.0791812460476249
month old,2.7466341989375787,1.0791812460476249
night the,2.747411807886423,1.0791812460476249
of murdering,2.7481880270062002,1.0791812460476249
of nursing,2.7489628612561616,1.0791812460476249
on bbc,2.749736315569061,1.0791812460476249
out a,2.7505083948513462,1.0791812460476249
outside the,2.751279103983342,1.0791812460476249
patient s,2.7520484478194387,1.0791812460476249
planning to,2.7528164311882715,1.0791812460476249
premiere of,2.7535830588929064,1.0791812460476249
ruled that,2.754348335711019,1.0791812460476249
sarah crump,2.7551122663950713,1.0791812460476249
she would,2.7558748556724915,1.0791812460476249
since the,2.756636108245848,1.0791812460476249
that we,2.7573960287930244,1.0791812460476249
the accused,2.75815462196739,1.0791812460476249
the department,2.7589118923979736,1.0791812460476249
the hearing,2.7596678446896306,1.0791812460476249
the man,2.760422483423212,1.0791812460476249
the mother,2.7611758131557314,1.0791812460476249
the order,2.761927838420529,1.0791812460476249
the original,2.762678563727436,1.0791812460476249
the programme,2.7634279935629373,1.0791812460476249
the public,2.7641761323903307,1.0791812460476249
their own,2.7649229846498886,1.0791812460476249
to call,2.765668554759014,1.0791812460476249
to itv,2.7664128471123997,1.0791812460476249
to move,2.7671558660821804,1.0791812460476249
to play,2.767897616018091,1.0791812460476249
to take,2.7686381012476144,1.0791812460476249
up the,2.7693773260761385,1.0791812460476249
was made,2.7701152947871015,1.0791812460476249
was said,2.7708520116421442,1.0791812460476249
was to,2.7715874808812555,1.0791812460476249
was very,2.77232170672292,1.0791812460476249
way to,2.7730546933642626,1.0791812460476249
where i,2.7737864449811935,1.0791812460476249
which will,2.7745169657285498,1.0791812460476249
a british,2.7752462597402365,1.0413926851582251
a girl,2.775974331129369,1.0413926851582251
a second,2.776701183988411,1.0413926851582251
a social,2.7774268223893115,1.0413926851582251
a very,2.7781512503836434,1.0413926851582251
amanda walker,2.7788744720027396,1.0413926851582251
baby s,2.7795964912578244,1.0413926851582251
back in,2.780317312140151,1.0413926851582251
bbc said,2.7810369386211318,1.0413926851582251
being a,2.781755374652469,1.0413926851582251
bound and,2.782472624166286,1.0413926851582251
by her,2.7831886910752575,1.0413926851582251
care for,2.783903579272735,1.0413926851582251
carried out,2.784617292632875,1.0413926851582251
deal with,2.785329835010767,1.0413926851582251
down the,2.786041210242554,1.0413926851582251
flat in,2.7867514221455614,1.0413926851582251
for their,2.787460474518415,1.0413926851582251
for them,2.788168371141168,1.0413926851582251
he should,2.788875115775417,1.0413926851582251
her body,2.7895807121644256,1.0413926851582251
in manchester,2.7902851640332416,1.0413926851582251
including the,2.790988475088816,1.0413926851582251
is very,2.791690649020118,1.0413926851582251
it as,2.792391689498254,1.0413926851582251
last month,2.79309160017658,1.0413926851582251
liam gallagher,2.7937903846908188,1.0413926851582251
like a,2.7944880466591697,1.0413926851582251
lived in,2.795184589682424,1.0413926851582251
loss of,2.7958800173440754,1.0413926851582251
made the,2.7965743332104296,1.0413926851582251
member of,2.7972675408307164,1.0413926851582251
mr branson,2.797959643737196,1.0413926851582251
murder of,2.798650645445269,1.0413926851582251
north london,2.7993405494535817,1.0413926851582251
north manchester,2.8000293592441343,1.0413926851582251
not about,2.800717078282385,1.0413926851582251
not the,2.801403710017355,1.0413926851582251
of those,2.802089257881733,1.0413926851582251
only a,2.8027737252919755,1.0413926851582251
other things,2.803457115648414,1.0413926851582251
out to,2.8041394323353503,1.0413926851582251
patsy kensit,2.8048206787211623,1.0413926851582251
pay the,2.8055008581584002,1.0413926851582251
phantom menace,2.806179973983887,1.0413926851582251
rest of,2.8068580295188172,1.0413926851582251
s been,2.807535028068853,1.0413926851582251
s the,2.808210972924222,1.0413926851582251
said his,2.808885867359812,1.0413926851582251
said last,2.8095597146352675,1.0413926851582251
seven years,2.8102325179950842,1.0413926851582251
smith had,2.8109042806687006,1.0413926851582251
stab wounds,2.8115750058705933,1.0413926851582251
than a,2.812244696800369,1.0413926851582251
that ba,2.8129133566428557,1.0413926851582251
the appeal,2.813580988568192,1.0413926851582251
the bedroom,2.81424759573192,1.0413926851582251
the door,2.814913181275074,1.0413926851582251
the injuries,2.815577748324267,1.0413926851582251
the internet,2.816241299991783,1.0413926851582251
the officers,2.8169038393756605,1.0413926851582251
the phantom,2.8175653695597807,1.0413926851582251
the rest,2.8182258936139557,1.0413926851582251
the story,2.8188854145940097,1.0413926851582251
the whole,2.8195439355418688,1.0413926851582251
thousands of,2.82020145948564,1.0413926851582251
three days,2.8208579894397,1.0413926851582251
time he,2.821513528404773,1.0413926851582251
to concentrate,2.8221680793680175,1.0413926851582251
